State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Assaults_0,Assaults_1,Assaults_2,Assaults_3,Assaults_4,Assaults_5,Assaults_6,Assaults_7,Assaults_8,Assaults_9,Assaults_10,Assaults_11,Assaults_12,Assaults_13,Assaults_14,Assaults_15,Assaults_16
CO,2001,statechecksh,implemented,,,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,
CO,2003,ccbackground,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,ccbackgroundnics,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,ccrenewbackground,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,ccrevoke,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,elementary,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,mayissue,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,preemption,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,preemptionbroad,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2003,preemptionnarrow,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,
CO,2013,backgroundpurge,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,dvro,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,dvrosurrender,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,dvrosurrendernoconditions,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,magazine,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,mcdv,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,mcdvsurrender,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
